,InvoiceDate,daily_profit
118,2011-05-29,7338.94
119,2011-05-31,22652.61
120,2011-06-01,40366.45
121,2011-06-02,3439.67
122,2011-06-03,9959.62
123,2011-06-04,17338.36
124,2011-06-05,36122.98
125,2011-06-06,17767.12
126,2011-06-07,26361.28
127,2011-06-09,28321.06
128,2011-06-10,62761.92
129,2011-06-11,42513.59
130,2011-06-12,56558.83
131,2011-06-13,22434.76
132,2011-06-14,40447.53
133,2011-06-15,48974.63
134,2011-06-16,34529.01
135,2011-06-17,21070.47
136,2011-06-19,22421.48
137,2011-06-20,37489.24
138,2011-06-21,24752.87
139,2011-06-22,21799.32
140,2011-06-23,25155.63
141,2011-06-24,19516.29
142,2011-06-26,7032.36
143,2011-06-27,16985.31
144,2011-06-28,35545.83
145,2011-06-29,22087.47
146,2011-06-30,44763.51
147,2011-07-01,28836.59
148,2011-07-02,25922.97
149,2011-07-03,32318.72
150,2011-07-04,18465.44
151,2011-07-06,37857.31
152,2011-07-07,32412.43
153,2011-07-08,7543.86
154,2011-07-09,34413.53
155,2011-07-10,53692.5
156,2011-07-11,85705.3
157,2011-07-12,75315.55
158,2011-07-13,22620.61
159,2011-07-14,33560.26
160,2011-07-15,14793.83
161,2011-07-17,17154.26
162,2011-07-18,38814.88
163,2011-07-19,50166.76
164,2011-07-20,33252.33
165,2011-07-21,32695.77
166,2011-07-22,20119.97
167,2011-07-24,27080.46
168,2011-07-25,26876.39
169,2011-07-26,21635.56
170,2011-07-27,25593.74
171,2011-07-28,56243.32
172,2011-07-29,18716.54
173,2011-07-31,33209.68
174,2011-08-02,20935.23
175,2011-08-03,25035.12
176,2011-08-04,25240.59
177,2011-08-05,18731.98
178,2011-08-06,43194.43
179,2011-08-07,27057.35
180,2011-08-08,23363.01
181,2011-08-09,27055.88
182,2011-08-11,57557.03
183,2011-08-12,82371.55
184,2011-08-14,5701.87
185,2011-08-15,17235.95
186,2011-08-16,19234.53
187,2011-08-17,53284.76
188,2011-08-18,54059.1
189,2011-08-19,17336.07
190,2011-08-21,14420.27
191,2011-08-22,29645.54
192,2011-08-23,25978.59
193,2011-08-24,48789.72
194,2011-08-25,23773.43
195,2011-08-26,25610.29
196,2011-08-28,10686.56
197,2011-08-30,31837.77
198,2011-08-31,25367.22
199,2011-09-01,15590.68
200,2011-09-02,16682.63
201,2011-09-03,22013.2
202,2011-09-05,27883.46
203,2011-09-06,46341.52
204,2011-09-08,27672.24
205,2011-09-09,30016.33
206,2011-09-10,12273.1
207,2011-09-11,65879.97
208,2011-09-12,200900.98
209,2011-09-13,55071.3
210,2011-09-14,23578.78
211,2011-09-15,78151.97
212,2011-09-16,27720.27
213,2011-09-18,15639.55
214,2011-09-19,49250.87
215,2011-09-20,109553.9
216,2011-09-21,48529.72
217,2011-09-22,59220.41
218,2011-09-23,40574.4
219,2011-09-25,31164.78
220,2011-09-26,29270.84
221,2011-09-27,36260.91
222,2011-09-28,43693.08
223,2011-09-29,46343.35
224,2011-09-30,44347.06
225,2011-10-01,24553.07
226,2011-10-02,14853.31
227,2011-10-03,26118.27
228,2011-10-04,9879.75
229,2011-10-05,47756.53
230,2011-10-06,62234.44
231,2011-10-07,5959.54
232,2011-10-08,28780.05
233,2011-10-10,48121.66
234,2011-10-11,70868.0
235,2011-10-13,37232.47
236,2011-10-14,36294.58
237,2011-10-16,21767.94
238,2011-10-17,51925.61
239,2011-10-18,45277.92
240,2011-10-19,42467.72
241,2011-10-20,60969.14
242,2011-10-21,63173.39
243,2011-10-23,12156.57
244,2011-10-24,48335.52
245,2011-10-25,41192.55
246,2011-10-26,37729.47
247,2011-10-27,57201.78
248,2011-10-28,40455.26
249,2011-10-30,34397.95
250,2011-10-31,57327.45
251,2011-11-01,68630.54
252,2011-11-02,22853.6
253,2011-11-03,25473.93
254,2011-11-04,22345.93
255,2011-11-05,33647.85
256,2011-11-07,22529.66
257,2011-11-08,72372.89
258,2011-11-09,35206.92
259,2011-11-10,52537.31
260,2011-11-11,55107.87
261,2011-11-13,33878.15
262,2011-11-14,114237.4
263,2011-11-15,60613.8
264,2011-11-16,65672.53
265,2011-11-17,60901.32
266,2011-11-18,51130.39
267,2011-11-20,34509.21
268,2011-11-21,49674.6
269,2011-11-22,63863.48
270,2011-11-23,79847.0
271,2011-11-24,50759.21
272,2011-11-25,50690.4
273,2011-11-27,20279.37
274,2011-11-28,56965.73
275,2011-11-29,72384.82
276,2011-11-30,60025.57
277,2011-12-01,24664.58
278,2011-12-04,25534.94
279,2011-12-05,61829.27
280,2011-12-06,12441.94
281,2011-12-07,26252.85
282,2011-12-08,32231.35
283,2011-12-09,29526.29
284,2011-12-10,32083.11
